"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Hero/index.tsx", "TypeScript JSX", 74, 0, 0, 0, 4, 78
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/LoadingSpinner.tsx", "TypeScript JSX", 32, 0, 0, 0, 2, 34
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Logotype.tsx", "TypeScript JSX", 32, 0, 0, 0, 3, 35
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Pricing/OfferList.tsx", "TypeScript JSX", 27, 0, 0, 0, 4, 31
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Pricing/PricingBox.tsx", "TypeScript JSX", 78, 0, 0, 0, 3, 81
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Pricing/index.tsx", "TypeScript JSX", 155, 0, 0, 0, 7, 162
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/ProfileButton.tsx", "TypeScript JSX", 82, 0, 0, 0, 4, 86
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/ScrollToTop/index.tsx", "TypeScript JSX", 35, 0, 0, 3, 8, 46
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Services/Card.tsx", "TypeScript JSX", 92, 0, 0, 0, 2, 94
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Services/index.tsx", "TypeScript JSX", 44, 0, 0, 0, 3, 47
